add_id,del_address_1,del_city,del_zipcode
add001,80 Oak St.,"Long Branch, NJ ",7740
add002,478 Greystone Street,"Englewood, NJ",7631
add003,840 W. Ridgewood St.,"Willingboro, NJ",8046
add004,245 Pumpkin Hill St.,"Nutley, NJ",7110
add005,5 Williams Dr.,"Hackettstown, NJ ",7840
add006,77 Bridge Dr.,"Rockaway, NJ ",7866
add007,8232 Thorne Street,"Ridgewood, NJ ",7450
add008,559 Oxford Street,"Egg Harbor Township, NJ ",8234
add009,9068 Linda St.,"Hightstown, NJ ",8520
add010,8372 San Juan Ave.,"Montclair, NJ ",7042
add011,697 Rock Creek St.,"Blackwood, NJ ",8012
add012,7113 S. Cedarwood Drive,"Bridgewater, NJ ",8807
add013,773 E. Tailwater Rd.,"Hillsborough, NJ ",8844
add014,8989 Edgefield Street,"Hightstown, NJ ",8520
add015,9 West Mill Street,"Clementon, NJ ",8021
add016,728 4th Ave.,"Lawrence Township, NJ ",8648
add017,9403 Cambridge Court,"Millville, NJ ",8332
add018,51 West Mayfield Dr.,"Camden, NJ ",8105
add019,33 Monroe Drive,"Englewood, NJ ",7631
add020,6 Lake Ave.,"Marlton, NJ ",8053
add021,838 Richardson Ave.,"Ridgewood, NJ ",7450
add022,7402 North Sunnyslope Drive,"Ridgewood, NJ ",7450
add023,683 W. Greenrose Avenue,"Rahway, NJ ",7065
